game_id,inning,batting_team,batter,pitch_sequence,event_text,ejection_flag,ejectee,job_code,ump_id,reason
LAN200007190,6,0,walkl001,SBBBSC,K/C,ej,walkl001,P,higgs901,Called third strike
LAN200008180,8,1,hundt001,BCBBCC,K/C,ej,hundt001,P,everm901,Called third strike
LAN200009280,8,1,shefg001,CBCBBFC,K/C,ej,shefg001,P,guccc901,Called third strike
MIL200005040,6,0,bellj001,BBX,4/P4,ej,connm801,C,joycj901,Checked swing
MIL200005040,6,0,bellj001,BBX,4/P4,ej,showb801,M,joycj901,Checked swing
MIL200005160,12,1,moutj001,CFS,K,ej,dierl101,M,wintm901,Balls and strikes
MIL200006300,8,1,hernj001,CSFFFS,K,ej,loped001,M,klemj901,Arguing missed tag
MIL200006300,14,1,grism001,CBFX,7/F7,ej,roysj001,C,klemj901,Balls and strikes
MIL200007090,7,0,higgb001,FCBC,K/C,ej,garnp001,M,davig901,Balls and strikes
MIL200007090,7,0,higgb001,FCBC,K/C,ej,higgb001,P,davig901,Balls and strikes
MIL200007200,3,1,houst001,CBSBX,31/G,ej,houst001,P,nelsj901,Call at 1B
MIL200009090,8,1,houst001,CBCS,K,ej,houst001,P,guccc901,Balls and strikes
MIL200009210,4,1,lorem001,X,64(1)/FO.3-H(UR);2-3,ej,younk001,P,coope901,Call at 1B
MIN200005250,7,0,walbm001,CX,13/G,ej,kellt101,M,everm901,Call at 1B
MIN200005250,7,0,walbm001,CX,13/G,ej,whitj001,C,everm901,Call at 1B
MIN200005280,3,1,huskb001,CBSC,K/C,ej,huskb001,P,emmep901,Balls and strikes
MIN200007180,4,0,davie001,FBCC,K/C,ej,davie001,P,wintm901,Balls and strikes
MIN200008250,6,1,guzmc001,BCSC,K/C,ej,guzmc001,P,dimum901,Balls and strikes
MIN200008250,8,0,higgb001,CCBC,K/C,ej,higgb001,P,dimum901,Balls and strikes
MIN200008250,8,0,higgb001,CCBC,K/C,ej,madlb001,C,dimum901,Balls and strikes
MIN200009160,8,0,vaugm001,SSBX,7/F7S,ej,guare001,P,cousd901,Balls and strikes
MIN200009160,8,0,gantr001,FBCBBB,W,ej,hawkl001,P,cousd901,Balls and strikes
MON200005120,2,1,websl001,BFBX,3/FL,ej,bayld001,M,cousd901,Balls and strikes
MON200008130,9,1,traca001,BX,7/F7,ej,arnsb001,C,marqa901,Balls and strikes
MON200009160,8,0,paytj001,X,S.3-H,ej,klins002,P,lampi901,Call at 1B
NYA200005080,9,1,bross001,BSSBFBFS,K+CS2(24)/DP,ej,rothl101,M,bellw901,Balls and strikes
NYA200006090,2,0,abbok002,X,63/G,ej,abbok002,P,fostm901,Call at 1B
NYA200006140,8,0,offej001,BX,46(1)3/GDP,ej,offej001,P,danlk901,Call at 2B
NYA200008070,8,0,marte001,BCFFBX,16(1)3/GDP,ej,nelsj001,P,carlm901,Throwing at batter
NYA200009140,8,0,stews002,BX,E1/BG,ej,torrj101,M,fostm901,Call at 1B
NYN200004070,4,0,whitd001,CBFC,K/C,ej,whitd001,P,everm901,Called third strike
NYN200004240,9,1,paytj001,CFX,FC6/TH3.2-3;1-2;B-1,ej,johnd105,M,davig901,Call at 3B
